航班日期,出发地编码,目的地编码,均分,评论
2019/2/19,PEK,HLD,4.4,机场还行，但是除了晚点就是晚点！中国的飞机什么时候能正点起飞！
2019/2/15,TSN,XIY,5,空乘服务好，准时抵达，安检很快，飞的很快
2019/2/13,PEK,URC,5,安检很快，机场商品多，餐食好吃，准时抵达，
2019/2/1,URC,PEK,5,餐食好吃，准时抵达，值机快捷，
2019/2/14,URC,PEK,5,餐食好吃，安检很快，值机快捷，机场商品多，
2019/2/19,URC,PEK,5,安检很快，值机快捷，座椅舒适，空乘服务好，
2019/2/9,PEK,CAN,5,准时抵达，空乘服务好，座椅舒适，安检很快，餐食好吃，值机快捷，机场商品多，
2019/2/2,SZX,PEK,4.17,准时抵达，值机快捷，空乘服务好，一路平稳到达
2019/2/11,SYX,PEK,5,准时抵达，座椅舒适，值机快捷，真心不错！
2019/2/27,SYX,PEK,5,空乘服务好，座椅舒适，安检很快，
2019/2/18,HAK,PEK,4.71,真的很差 两位旅客没有登记找行李耽误45分钟 为什么两个人的错误要一飞机的人等着 不可以邮寄吗？？ 他们的错误我们为什么陪着买单
2019/2/10,PEK,SZX,3.71,延误，客舱拥挤，
2019/2/3,PEK,WDS,4.71,空乘服务好，安检很快，值机快捷，座椅舒适，准时抵达，餐食好吃！特别要表扬空姐郑媛媛，她的服务非常专业，笑容甜美，解答耐心，让我有回家的感觉，希望所有的空姐都能像郑媛媛一样！为国航点赞，以后做飞机首选一定是国航。
2019/2/15,HAK,PEK,4.78,值机快捷，安检很快，空乘服务好，机场商品多，餐食好吃，
2019/2/7,PEK,CKG,5,准时抵达，座椅舒适，空乘服务好，安检很快，
2019/2/4,LJG,PEK,5,地面安检人员的服务态度比首都机场的差好远，其他都非常OK
2019/2/14,PEK,URC,5,安检很快，准时抵达，座椅舒适，机场商品多，
2019/2/18,PEK,URC,5,座椅舒适，餐食好吃，准时抵达，
2019/2/23,PEK,URC,5,座椅舒适，准时抵达，机场商品多，值机快捷，
2019/2/7,ZYI,PEK,4.57,延误两个半小时，到达后客梯不及时迟迟不下机，还要坐摆渡车，哎，累
2019/2/13,XMN,TSN,4.43,机场餐饮较差
2019/2/16,HRB,PEK,4.67,下飞机后行李转盘也太慢了 快一个小时了 行李都没出
2019/2/6,TSN,FOC,5,[开心][笑][开心][开心][开心][开心]
2019/2/2,TSN,HAK,4.43,安检很快，值机快捷，空乘服务好，
2019/2/1,HGH,PEK,3.75,空乘服务好，
2019/2/2,SZX,PEK,4.6,餐食好吃，空乘服务好，值机快捷，
2019/2/4,PEK,URC,5,座椅舒适，值机快捷，安检很快，餐食好吃，
2019/2/17,PEK,URC,5,座椅舒适，准时抵达，机场商品多，空乘服务好，
2019/2/7,CAN,WNZ,5,座椅舒适，
2019/2/2,PVG,XIY,1,我们两点四十二都不允许办登机牌，结果晚点到四点半起飞！被迫改签！投诉
2019/2/6,TNA,PEK,5,非常好，即使大雾顺利起降
2019/2/3,TAO,KHN,5,值机快捷，餐食好吃，安检很快，机场商品多，
2019/2/10,SZX,YNT,4,值机快捷，准时抵达，座椅舒适，
2019/2/1,XUZ,HRB,4.86,延误，
2019/2/19,NNG,CTU,3.87,吴圩机场排队过安检整个人山人海，分流比较差、没有很好的应当措施，安检口开得很少，好不容易排到我了，安检验证人员交接班，连一句：“请稍等”都没有，把我的证留在桌面上，工作人员对对眼色就走开换人了。能说：好尴尬吗。摆渡车师傅开得很好，飞机准时起飞，准时抵达，机长的起降非常好。机舱内温度较高，比较热，坐着有些不耐烦的感觉。前排坐2个安保人员一路都在聊天，聊得好开心。靠走道坐的安保起来和坐下动静很大。同事带着眼罩睡觉，被这位安保人员大幅度的落座动作吓醒了2次。很想负责任的说真心应该多像乌鲁木齐航空的安保组多学习。下机时看到一个安保工作人员在编辑一大段的文字，往工作的微信群组里发，估计是写工作小结吧。空乘服务好，就是小零食很一般。总之，元宵佳节平安喜乐！吴圩机场的验证安检真的很慢
2019/2/10,CTU,XIY,5,机场商品多，空乘服务好，准时抵达，安检很快，座椅舒适，餐食好吃，值机快捷，
2019/2/2,KHN,CTU,4.57,准时抵达，餐食好吃，
2019/2/10,CGO,HRB,3.29,"第一、晚点五个多小时；
第二、晚点五个多小时，没有任何解释和措施。在机场里从四点多等到十点半，借着没安排登机口旅客无法投诉的优势，全程连个屁都没放！更不用说饮水晚餐什么的，毛都没有！
第三、穷逼航空公司，没地位，不舍的花钱。同样都是机场拥堵，南航的飞机就可以先落，川航的飞机连在前一个地点起飞都不允许。到了哈尔滨也抠搜的，停远机位，坐摆渡车。凌晨一点，零下二十度的摆渡车！"
2019/2/20,XIY,CTU,5,空乘服务好，
2019/2/1,WUX,CKG,4.5,晚點半小時
2019/2/3,MIG,NKG,5,座椅舒适，空乘服务好，安检很快，准时抵达，值机快捷，机场商品多，餐食好吃，
